,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message
0,"{'lon': 78.75, 'lat': 27.88}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 299.83, 'feels_like': 302.86, 'temp_min': 299.83, 'temp_max': 299.83, 'pressure': 1002, 'humidity': 84, 'sea_level': 1002, 'grnd_level': 982}",10000.0,"{'speed': 3.77, 'deg': 145}",{'all': 83},1598818867.0,"{'country': 'IN', 'sunrise': 1598833406, 'sunset': 1598879255}",19800.0,1255704.0,Soron,200,,
1,"{'lon': 25.58, 'lat': 44.68}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 297.48, 'feels_like': 298.42, 'temp_min': 296.15, 'temp_max': 298.15, 'pressure': 1014, 'humidity': 64}",10000.0,"{'speed': 2.1, 'deg': 90}",{'all': 0},1598818867.0,"{'type': 1, 'id': 6919, 'country': 'RO', 'sunrise': 1598758691, 'sunset': 1598806724}",10800.0,683863.0,Braniştea,200,,
2,"{'lon': 45.79, 'lat': 57.46}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 288.5, 'feels_like': 287.37, 'temp_min': 288.5, 'temp_max': 288.5, 'pressure': 1014, 'humidity': 91, 'sea_level': 1014, 'grnd_level': 1001}",10000.0,"{'speed': 3.37, 'deg': 208}",{'all': 100},1598818867.0,"{'country': 'RU', 'sunrise': 1598752467, 'sunset': 1598803249}",10800.0,478757.0,Uren',200,,
3,"{'lon': 137.02, 'lat': 50.55}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 282.06, 'feels_like': 280.41, 'temp_min': 282.06, 'temp_max': 282.06, 'pressure': 1021, 'humidity': 93, 'sea_level': 1021, 'grnd_level': 1017}",10000.0,"{'speed': 1.64, 'deg': 145}",{'all': 50},1598818868.0,"{'country': 'RU', 'sunrise': 1598817880, 'sunset': 1598866818}",36000.0,2021851.0,Komsomolsk-on-Amur,200,,
4,"{'lon': -121.55, 'lat': 39.13}","[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",stations,"{'temp': 303.15, 'feels_like': 301.86, 'temp_min': 303.15, 'temp_max': 303.15, 'pressure': 1009, 'humidity': 35}",8047.0,"{'speed': 3.1, 'deg': 280}",{'all': 1},1598818868.0,"{'type': 1, 'id': 5029, 'country': 'US', 'sunrise': 1598794429, 'sunset': 1598841593}",-25200.0,5366531.0,Linda,200,,
5,"{'lon': 10.7, 'lat': 53.92}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 287.98, 'feels_like': 288.8, 'temp_min': 287.04, 'temp_max': 289.82, 'pressure': 1011, 'humidity': 93}",10000.0,"{'speed': 0.5, 'deg': 0}",{'all': 73},1598818868.0,"{'type': 1, 'id': 1293, 'country': 'DE', 'sunrise': 1598761366, 'sunset': 1598811189}",7200.0,2953347.0,Bad Schwartau,200,,
6,"{'lon': 23.15, 'lat': 47.48}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 294.73, 'feels_like': 295.87, 'temp_min': 294.15, 'temp_max': 295.37, 'pressure': 1011, 'humidity': 73}",10000.0,"{'speed': 1.5, 'deg': 50}",{'all': 0},1598818868.0,"{'type': 1, 'id': 6910, 'country': 'RO', 'sunrise': 1598759038, 'sunset': 1598807543}",10800.0,685299.0,Băseşti,200,,
7,"{'lon': 12.57, 'lat': 48.88}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 287.19, 'feels_like': 279.95, 'temp_min': 287.04, 'temp_max': 287.59, 'pressure': 1009, 'humidity': 10}",10000.0,"{'speed': 5.38, 'deg': 262}",{'all': 100},1598818868.0,"{'type': 3, 'id': 2000973, 'country': 'DE', 'sunrise': 1598761451, 'sunset': 1598810207}",7200.0,2826099.0,Straubing,200,,
8,"{'lon': -4.08, 'lat': 56.12}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 285.77, 'feels_like': 284.38, 'temp_min': 285.37, 'temp_max': 286.15, 'pressure': 1021, 'humidity': 76}",10000.0,"{'speed': 1.5, 'deg': 250}",{'all': 83},1598818869.0,"{'type': 1, 'id': 1441, 'country': 'GB', 'sunrise': 1598764640, 'sunset': 1598815009}",3600.0,2636910.0,Gargunnock,200,,
9,"{'lon': 32.59, 'lat': -25.97}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 289.72, 'feels_like': 285.89, 'temp_min': 289.26, 'temp_max': 290.15, 'pressure': 1023, 'humidity': 67}",10000.0,"{'speed': 5.7, 'deg': 220}",{'all': 75},1598818869.0,"{'type': 1, 'id': 2202, 'country': 'MZ', 'sunrise': 1598760247, 'sunset': 1598801804}",7200.0,1040652.0,Maputo,200,,
10,"{'lon': 2.28, 'lat': 42}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 287.18, 'feels_like': 287.36, 'temp_min': 287.04, 'temp_max': 287.59, 'pressure': 1018, 'humidity': 92}",10000.0,"{'speed': 0.96, 'deg': 75}",{'all': 0},1598818869.0,"{'type': 3, 'id': 2033744, 'country': 'ES', 'sunrise': 1598764492, 'sunset': 1598812104}",7200.0,3117539.0,Manlleu,200,{'1h': 0.65},
